,Name,Price,Retailer,Stars,Description
72,Kyocera DuraForce Pro 2 - 64 GB - Black - Unlocked - CDMA/GSM,0.00 US$,from 4 shops,3.4 out of 5 stars,The profoundly durable and virtually unstoppable DuraForce PRO 2 - an ultimate all-in-one rugged Android smartphone for tough jobs.
73,Samsung Galaxy S9+ - 64 GB - Coral Blue - AT&T,18.30 US$,from 20+ stores,4.7 out of 5 stars,"Up your camera game. Take photos like a pro day or night, personalize emojis, shoot 4K video, and watch Direct TV on the Infinity Display with ..."
74,Samsung Galaxy Note9 - 128 GB - Midnight Black - Unlocked - CDMA/GSM,"1,070.54 US$",from 25+ stores,4.8 out of 5 stars,"Galaxy Note has always put powerful technology in the hands of those who demand more. Now, the Galaxy Note9 surpasses even these high expectations ..."
75,Total Wireless - Apple iPhone XR - Blue,749.99 US$,Best Buy,none,"Communicate effectively with this iPhone XR smartphone. An A10 Bionic chip ensures fast completion of processes, while the 64GB memory provides ..."
76,LG Premier Pro 4G LTE - 16 GB - Black - Simple Mobile - CDMA/GSM,49.94 US$,from 10+ stores,3.5 out of 5 stars,To the value-seekers and great-deal getters. You're on the market for a smartphone that accomplishes the essentials—nothing too ‘extra' yet one ...
77,Samsung GT-S3600 GSM Unlocked Flip Cell Phone (silver),79.59 US$,Cell2Get.com,none,Samsung GT-S3600 GSM Unlocked Flip Cell Phone (silver)
78,Alcatel Verso - 16 GB - Black - Cricket Wireless - GSM,39.99 US$,from 10+ stores,3.9 out of 5 stars,"With 4G LTE speed and a powerful processor, the Alcatel VERSO is what you need to keep up with your busy, on-the-go lifestyle. The large 5 ..."
79,"Apple iPhone 7 (32GB, Black)",207.00 US$ refurbished,from 2 shops,4.5 out of 5 stars,Trademark iPhone beauty and performance. A10 Fusion chip – 40% faster than last year’s A9 processor iOS 10 Longer battery life Water-resistant ...
80,"Eachbid The Smallest Smartphone in the World, ANDROID UNLOCKED 2.4 ...",54.99 US$,YearlyShop,none,"UNLOCKED.NO CONTRACT.DUAL SIM.READY FOR USE. This new 2.4"" 2G Smartphone / ( SMALLEST PHONE IN THE WORLD.A SMALL-sized 2.4"" LCD display and a 600 ..."
81,"Simple Mobile Apple iPhone SE 32gb 4G LTE Prepaid, Silver (Limit 2 ...",139.99 US$,Walmart,none,Get a New Phone with No Contract! No one likes to sign a contract when getting a new phone. Now you dont have to. Simple Mobile plans give you 4G ...
82,Smartphone P37 6.5 InchWater Drop Screen Full Screen Ultra-thin ...,94.00 US$,Wish,none,Package contents: 1 x Smartphone 1 x Charger 1 x USB 1 x Mobile phone case 1 x User Manual 1 x Earphone Product Details Product Key Features: CPU ...
83,Motorola Moto Z3 - 64 GB - Ceramic Black - Verizon - CDMA/GSM,480.00 US$,from 10+ stores,3.3 out of 5 stars,Say hello to the future with this Motorola Z3 smartphone from Verizon Wireless. The powerful Qualcomm Snapdragon processor and 4GB of RAM provide ...
84,"LG LGUS997U.AUSABK G6+ LTE Cellular Unlocked 5.7"" Screen 32GB ...",189.00 US$ refurbished,vipoutlet.com,none,"5.7"" QHD Plus FullVision display with 18:9 aspect ratio Hi-Fi Quad DAC and QuadPlay Headphones (included in the box) provide next-level audio with ..."
85,Samsung Galaxy J3 (2018) - 16 GB - Silver - AT&T - GSM,1.50 US$,from 5+ stores,3.4 out of 5 stars,Samsung Galaxy J3 is an easy-to-use smartphone designed for your lifestyle. Shoot and share on a simple camera with plenty of storage to keep your ...
86,Fashion Durable Mini Mobile Phone Smart Business BT Earphone GSM ...,19.00 US$,Wish,none,"Türkiye'ye bu ürünü gemi yok. Due to logistics restrictions,we do not ship this product to Turkey.Sorry for any inconvenience. This mini-sized BT ..."
87,Kyocera DuraXV LTE E4610 (4G LTE) Verizon Wireless,0.00 US$,from 4 shops,4.1 out of 5 stars,"Get crisp, high-quality sound with HD voice. A large, tactile keypad and buttons make it easy to take phone calls and navigate your screen. Snap ..."
88,Smartphone Unlocked Cell Phones 5.8 inch Dual HD Camera Smartphone ...,88.99 US$,Amazon.com - Seller,none,"【Package Includes】SmartphoneX1,User manualX1,Phone caseX1,Charger*1,Earphone(3.5mm)X1,BatteryX1,USB lineX1 【Ultra-long Standby Time】Battery: Real ..."
89,Samsung Galaxy J7 Crown - 16 GB - Black - Total Wireless - CDMA/GSM,89.99 US$,from 10+ stores,3.9 out of 5 stars,With a 13MP camera that captures incredible photos in low light and 5.5 inch HD screen to keep you entertained all day. Step up to a beautiful ...
90,Samsung GT-S3600 GSM Unlocked Flip Cell Phone (silver),79.59 US$,Cell2Get.com,none,Samsung GT-S3600 GSM Unlocked Flip Cell Phone (silver)
91,LG Premier Pro 4G LTE - 16 GB - Black - Simple Mobile - CDMA/GSM,49.94 US$,from 10+ stores,3.5 out of 5 stars,To the value-seekers and great-deal getters. You're on the market for a smartphone that accomplishes the essentials—nothing too ‘extra' yet one ...
92,Alcatel Verso - 16 GB - Black - Cricket Wireless - GSM,39.99 US$,from 10+ stores,3.9 out of 5 stars,"With 4G LTE speed and a powerful processor, the Alcatel VERSO is what you need to keep up with your busy, on-the-go lifestyle. The large 5 ..."
93,"Google Pixel 3A, Black - Sprint",0.00 US$,Sprint,4.7 out of 5 stars,"Hey Google, get it done Get more done with an extraordinary camera, fast-charging battery(1), and the helpful Google Assistant built in. 1 ..."
94,"Apple iPhone 7 (32GB, Black)",207.00 US$ refurbished,from 2 shops,4.5 out of 5 stars,Trademark iPhone beauty and performance. A10 Fusion chip – 40% faster than last year’s A9 processor iOS 10 Longer battery life Water-resistant ...
95,Nokia 7.1 - 64 GB - Unlocked - GSM,0.00 US$,from 10+ stores,4.3 out of 5 stars,"Nokia 7.1 is all about capturing photos that look so good, you just have to share them. The dual rear cameras with ZEISS optics deliver stunning ..."
96,"Easyfone Prime A1 3G Unlocked Senior Flip Cell Phone, Big Button ...",64.99 US$,from 4 shops,5 out of 5 stars,Special SOS button with ICE Manual; M1 and M2 Dedicated Direct dial keys and # Key 2-9 eight numbers can be set as Speed dial button. The model ...
97,Jitterbug A622LJBS1 - 8 GB - Black - CDMA,65.00 US$,from 10+ stores,3.5 out of 5 stars,"With a modern look, it is designed with Greatcall's signature simplicity. While most smartphones are complicated with tiny icons and multiple ..."
98,"HTC 5G Hub, Charcoal Grey - Sprint",600.00 US$,Sprint,5 out of 5 stars,"Enable content sharing, entertainment, gaming and more with this first-of its-kind media center and 5G mobile hotspot. (Body Legal: 5G coverage ..."
99,"Walmart Family Mobile LG Rebel 4 Prepaid Smartphone, Black",39.99 US$,from 4 shops,4 out of 5 stars,"Dare to be Exceptional. It has all the premium features without the premium price tag in a device that is smart, sleek and beautiful. Who wouldve ..."
100,Alcatel Verso - 16 GB - Black - Cricket Wireless - GSM,39.99 US$,from 10+ stores,3.9 out of 5 stars,"With 4G LTE speed and a powerful processor, the Alcatel VERSO is what you need to keep up with your busy, on-the-go lifestyle. The large 5 ..."
101,LG Rebel 4 Simple Mobile Prepaid Cell Phone,39.88 US$,from 10+ stores,4 out of 5 stars,AT&T Prepaid - LG Rebel 4G LTE Brand New The LG Rebel 4G LTE is an easy-to-use smart phone with 1.1 GHz Quad core processor powered by Android 5.1 ...
102,"Easyfone Prime A1 3G Unlocked Senior Flip Cell Phone, Big Button ...",64.99 US$,from 4 shops,5 out of 5 stars,Special SOS button with ICE Manual; M1 and M2 Dedicated Direct dial keys and # Key 2-9 eight numbers can be set as Speed dial button. The model ...
103,Samsung Sky Pro - Family Mobile,129.74 US$,from 5+ stores,4.1 out of 5 stars,"Get the big picture. Take it all in on the large 5.5"" HD display. Videos, text, and photos pop on the vibrant screen. Snap and share. With an 8MP ..."
104,Tracfone LG 440G Flip Mobile Phone - Black,89.99 US$,from 2 shops,3.7 out of 5 stars,
105,Samsung Galaxy Proclaim S720c Android Prepaid Phone Net10,54.59 US$,Walmart - VIPOUTLET,none,
106,Samsung Galaxy Note9 - 128GB - Midnight Black - AT&T,714.97 US$,from 5+ stores,4.8 out of 5 stars,"Galaxy Note has always put powerful technology in the hands of those who demand more. Now, the Galaxy Note9 surpasses even these high expectations ..."
107,LG Tribute Empire - 16 GB - White - Virgin Mobile - CDMA/GSM,49.00 US$,from 5+ stores,3.3 out of 5 stars,"The LG Tribute Empire delivers what you need, anywhere you go. It features a 8MP camera to capture all of life's important moments, and a vibrant ..."
108,Refurbished Samsung Galaxy S8/S8 Plus 64GB 4G LTE Smartphone GSM ...,269.99 US$ refurbished,Groupon.com,none,Capacity: 64GB Carrier: GSM Unlocked Display Technology: LED-lit Size: 64Gb. Color: Multicolor. Gender: Unisex. Age Group: Adult.
109,ZTE Zinger Z667T 4GB Network Black T-Mobile Unlocked Smartphone,31.12 US$,from 10+ stores,4 out of 5 stars,"Introducing the zte zinger, your next compact, light and elegantly designed smartphone. Featuring a vibrant 3.5 inch touch screen and android 4.4 ..."
110,Smove Mobile best phone stabilizer smartphone/gopro stabilizer,159.00 US$,smovemobile.com/smbl,none,best phone stabilizer smartphone/gopro stabilizer
111,"Cat S48c, Black - Sprint",0.00 US$,from 2 shops,4.1 out of 5 stars,"Whether it’s on the job or enjoying the outdoors, this phone is built with the same durability you would expect from Cat equipment. It’s drop ..."
112,Apple iPhone 6s 128GB Unlocked GSM 4G LTE 12MP Cell Phone - Space Gray,149.99 US$ refurbished,from 2 shops,4.5 out of 5 stars,
113,Fashion 2019 Gift Phone 6.1 Inch 18:9 Lcd Screen M,123.00 US$,Tophatter,none,Product Details Product Key Features: Cpu: Mtk6592 Octa Core System: Android 8.1 Rom: 64 Gb Ram: 4 Gb Screen Type: 6.1 Inch Touch Screen: Support ...
114,"Samsung Galaxy A10E, 32GB, Gray, Boost Mobile",99.99 US$,from 2 shops,4.5 out of 5 stars,"Do more with a long-lasting battery, keep all of your stuff with a 32GB built-in memory, and experience it on a 5.83"" edge-to-edge Infinity ..."
115,"refurbished Apple iPhone 7 128GB, Jet Black - Locked Sprint",237.00 US$ refurbished,from 4 shops,none,*This item is REFURBISHED. iPhone 7 features an all-new 12MP camera with an /1.8 aperture for great low-light photos and 4K video. Optical image ...
116,"Walmart Family Mobile Alcatel MyFlip Prepaid Phone, Black",21.60 US$,Walmart,none,"It delivers the essential features to be productive - including access to email, calendar and web at 4G speeds - in a durable compact flip phone ..."
117,Nokia 8800 Cell Phone GSM Unlocked (GOLD),245.69 US$,Cell2Get.com,none,Nokia 8800 Cell Phone GSM Unlocked (GOLD)
118,Apple iPhone 6S - 32 GB - Gray - Boost Mobile - CDMA/GSM,199.00 US$,from 10+ stores,4.2 out of 5 stars,"The moment you use iPhone 6s, you know you've never felt anything like it. With a single press, 3D Touch lets you do more than ever before. Live ..."
